date,indeks_vix
2016-05-01,14.85285714285714
2016-06-01,17.77454545454546
2016-07-01,13.1585
2016-08-01,12.3995652173913
2016-09-01,14.21952380952381
2016-10-01,14.5852380952381
2016-11-01,15.23619047619048
2016-12-01,12.47238095238095
2017-01-01,11.6085
2017-02-01,11.53052631578947
2017-03-01,11.89782608695652
2017-04-01,13.13631578947368
2017-05-01,10.86227272727273
2017-06-01,10.51363636363636
2017-07-01,10.2645
2017-08-01,11.97565217391304
2017-09-01,10.438
2017-10-01,10.12545454545455
2017-11-01,10.54047619047619
2017-12-01,10.2645
2018-01-01,11.06238095238095
2018-02-01,22.46473684210526
2018-03-01,19.02380952380953
2018-04-01,18.26761904761905
2018-05-01,14.12454545454545
2018-06-01,13.67809523809524
2018-07-01,13.14761904761905
2018-08-01,12.54695652173913
2018-09-01,12.91052631578947
2018-10-01,19.35217391304348
2018-11-01,19.38904761904762
2018-12-01,24.95315789473684
2019-01-01,19.57238095238095
2019-02-01,15.23473684210526
2019-03-01,14.4852380952381
2019-04-01,12.94904761904762
2019-05-01,16.72181818181818
2019-06-01,15.836
2019-07-01,13.30590909090909
2019-08-01,18.97909090909091
2019-09-01,15.559
2019-10-01,15.46652173913044
2019-11-01,12.5235
2019-12-01,13.75666666666667
2020-01-01,13.94095238095238
2020-02-01,19.62894736842105
2020-03-01,57.73681818181819
2020-04-01,41.45380952380953
2020-05-01,30.897
2020-06-01,31.11954545454546
2020-07-01,26.84045454545454
2020-08-01,22.88952380952381
2020-09-01,27.64761904761905
2020-10-01,29.43863636363636
2020-11-01,24.9955
2020-12-01,22.37409090909091
2021-01-01,24.91
2021-02-01,23.14052631578948
2021-03-01,21.84304347826087
2021-04-01,17.41619047619048
2021-05-01,19.7605
2021-06-01,16.95681818181818
2021-07-01,17.60333333333334
2021-08-01,17.47272727272727
2021-09-01,19.8247619047619
2021-10-01,17.87142857142857
2021-11-01,18.50047619047619
2021-12-01,21.35454545454546
2022-01-01,23.181
2022-02-01,25.74842105263158
2022-03-01,26.96869565217391
2022-04-01,24.3735
2022-05-01,29.31363636363636
2022-06-01,28.23318181818182
2022-07-01,24.99523809523809
2022-08-01,22.1695652173913
2022-09-01,27.34181818181818
2022-10-01,30.00571428571429
2022-11-01,23.29909090909091
2022-12-01,21.78428571428572
2023-01-01,20.16904761904762
2023-02-01,20.1205
2023-03-01,21.64434782608696
2023-04-01,17.81789473684211
2023-05-01,17.63608695652174
2023-06-01,14.00318181818182
2023-07-01,13.93238095238095
2023-08-01,15.85391304347826
2023-09-01,15.17333333333333
2023-10-01,18.88772727272727
2023-11-01,14.01909090909091
2023-12-01,12.7185
2024-01-01,13.38863636363636
2024-02-01,13.98047619047619
2024-03-01,13.7875
2024-04-01,16.13772727272728
2024-05-01,13.05869565217391
2024-06-01,12.667
2024-07-01,14.37391304347826
2024-08-01,19.31227272727273
2024-09-01,17.66333333333333
2024-10-01,19.96086956521739
2024-11-01,16.0152380952381
2024-12-01,15.86619047619048
2025-01-01,16.76
2025-02-01,16.97
2025-03-01,21.84
2025-04-01,31.97
2025-05-01,20.46
2025-06-01,18.4
2025-07-01,16.38
2025-08-01,15.75
2025-09-01,15.79
2025-10-01,18.09
2025-11-01,19.77
2025-12-01,15.55
